sku	asin	price	quantity	Business Price	Quantity Price Type	Quantity Lower Bound 1	Quantity Price 1	Quantity Lower Bound 2	Quantity Price 2	Quantity Lower Bound 3	Quantity Price 3	Quantity Lower Bound 4	Quantity Price 4	Quantity Lower Bound 5	Quantity Price 5	Progressive Price Type	Progressive Lower Bound 1	Progressive Price 1	Progressive Lower Bound 2	Progressive Price 2	Progressive Lower Bound 3	Progressive Price 3	Minimum order quantity	Sell remainder
SXM-1043-G1	B01D8644JU	24.99	91																					false
SXM-2086-G1	B07Y27D5RY	34.99	18																					false
SXM-2628-G1	B07ZLZBL18	13.95	47																					
SXM-2628-G2	B07ZM27ZC1	19.99	11																					
SXM-2628-G3	B07ZM1WY1P	27.99	27																					
SXM-2628-G4	B07ZM12FV1	35.99	39																					
SXM-2628-G5	B07ZM12BKL	43.99	28																					
SXM-2704-G1	B07ZVWH4QJ	7.99	20																					
SXM-2704-G10	B07ZVWN5YH	24.99	20																					
SXM-2704-G4	B07ZVWNCNL	16.99	20																					
SXM-2704-G6	B07ZVVGLY3	18.99	20																					
SXM-2937-G1	B0811NZS4K	33.99	52																					
SXM-2943-G1	B0811NR3B8	34.98	69																					
SXM-2986-G1	B082SM5MWL	79.99	30																					
SXM-2989-G1z	B08RBRKR1R	42.99	1																					
SXM-2991-G1z	B08RBPRQFR	47.99	98																					
SXM-2993-M1m	B07ZYSS274	40.99	44																					
SXM-306-G1	B08LVP7Z92	14.99	57																					
SXM-306-G1a	B08D6HVZ19	15.99	85																					false
SXM-307-G1	B08LVR7X9Q	16.99	78																					
SXM-307-G1a	B08D6KXJVG	17.99	35																					false
SXM-3162-G1j	B08XBKN7FG	49.99	30																					
SXM-3162-G1m	B084FHGLZ3	60.99	47																					false
SXM-3162-G2m	B084FHTWSL	95.99	28																					false
SXM-3163-G1j	B08XBCF4JJ	49.99	30																					
SXM-3163-G1m	B084FHWJX4	60.99	47																					false
SXM-3163-G2m	B084FHWNRT	95.99	21																					false
SXM-3175-G1	B07WKYR2KC	14.99	30																					
SXM-3207-G1	B07ZFPJ33T	24.99	56																					false
