sku	asin	price	quantity	Business Price	Quantity Price Type	Quantity Lower Bound 1	Quantity Price 1	Quantity Lower Bound 2	Quantity Price 2	Quantity Lower Bound 3	Quantity Price 3	Quantity Lower Bound 4	Quantity Price 4	Quantity Lower Bound 5	Quantity Price 5	Progressive Price Type	Progressive Lower Bound 1	Progressive Price 1	Progressive Lower Bound 2	Progressive Price 2	Progressive Lower Bound 3	Progressive Price 3	Minimum order quantity	Sell remainder
SXM-2086-G1	B07Y27D5RY	43.99	18																					
SXM-306-G1a	B08D6HVZ19	21.99	85																					
SXM-307-G1a	B08D6KXJVG	26.99	35																					
SXM-3162-G1m	B084FHGLZ3	45.99	47																					
SXM-3162-G2m	B084FHTWSL	85.99	28																					
SXM-3163-G1m	B084FHWJX4	45.99	47																					
SXM-3163-G2m	B084FHWNRT	85.99	21																					
SXM-3207-G1	B07ZFPJ33T	38.99	56																					
SXM-3207-G1a	B07YQLBLNS	38.99	36																					
SXM-3524-G1	B07YBCRCPD	33.99	29																					
SXM-3525-G1a	B07YBFB9XM	33.99	30																					
SXM-3526-G1	B07YBDKJTB	33.99	28																					
SXM-3527-G1	B07YBF6H7X	37.99	28																					
SXM-3528-G1	B07YBDNLLN	37.99	21																					
SXM-3529-G1	B07YBDN12J	37.99	26																					
SXM-3530-G1	B07YBCQKNP	37.99	26																					
SXM-3988-G1	B083Q7K1JM	27.99	317																					
SXM-3988-G1a	B08V19PHB9	29.99	223																					
SXM-3988-G4a	B08V1KRYJF	85.99	269																					
SXM-3988-G6a	B08V1MXV7T	118.99	287																					
SXM-3988-G8a	B08V1JF9DV	155.99	264																					
SXM-3990-G1	B083Q73Q8T	27.99	140																					
SXM-3991-G1	B083Q6XG8G	28.99	62																					
SXM-3994-G1	B083Q7MBHN	38.99	303																					
SXM-3995-G1	B083Q73Q2Z	38.99	185																					
SXM-3996-G1	B083Q6N247	38.99	166																					
SXM-3997-G1	B083Q6PBHN	40.99	58																					
SXM-3998-G1	B083QD3K9C	40.99	21																					
SXM-4553 4554-G1	B089RLYVTZ	48.99	100																					
SXM-4553-G1	B089RMY1M6	28.99	97																					
SXM-4553-G2	B089RM8X15	46.99	97																					
SXM-4554 4555-G1	B089RM97QS	56.99	100																					
SXM-4554-G1	B089RLJYR1	35.99	99																					
SXM-4554-G2	B089RLQXCR	51.99	100																					
SXM-4555-G1	B089RMYC12	40.99	97																					
SXM-4555-G2	B089RM57FV	60.99	100																					
SXM-4556 4557-G1	B089R621LX	48.89	98																					
SXM-4556-G1	B089RM8L1N	34.99	98																					
SXM-4556-G2	B089RLWBG2	45.99	95																					
SXM-4557 4558-G1	B089RLY47X	60.99	100																					
SXM-4557-G1	B089RLTRHH	38.99	96																					
SXM-4557-G2	B089RLHMYL	56.99	100																					
SXM-4558-G1	B089RLRSM9	42.89	96																					
SXM-4558-G2	B089RL2B81	65.99	98																					
SXM-4559 4560-G1	B089RML2VH	54.89	99																					
SXM-4559-G1	B089RMHXM2	34.89	95																					
SXM-4559-G2	B089RLQQLC	51.89	98																					
SXM-4560 4561-G1	B089RM69CX	65.99	99																					
SXM-4560-G1	B089RLN1MT	40.99	97																					
SXM-4560-G2	B089RLX6GR	60.99	99																					
SXM-4561-G1	B089RLR6VX	45.99	17																					
SXM-4561-G2	B089RLM611	70.99	4																					
SXM-4562 4563-G1	B089RMVFJQ	63.99	98																					
SXM-4562-G1	B089RLWZ55	43.99	97																					
SXM-4562-G2	B089RMQNQZ	56.99	97																					
SXM-4563 4564-G1	B089RMHFS8	75.99	100																					
SXM-4563-G1	B089RMH3K1	44.89	98																					
SXM-4563-G2	B089RLTY4B	69.99	99																					
SXM-4564-G1	B089RMRFLT	49.89	98																					
SXM-4564-G2	B089RM6NNF	81.99	100																					
SXM-4565 4566-G1	B089RL2B82	68.89	50																					
SXM-4565-G1	B089RLS1NL	43.89	48																					
SXM-4565-G2	B089RLRSMB	63.89	49																					
SXM-4566 4567-G1	B089RM6K73	78.89	99																					
SXM-4566-G1	B089RLRYYB	47.89	100																					
