sku	asin	price	quantity
SXM-2086-G1	B07Y27D5RY	410.99	18
SXM-3207-G1	B07ZFPJ33T	397.99	56
SXM-3207-G1a	B07YQLBLNS	397.99	36
SXM-5010-G1a	B0817KK959	275.22	25
SXM-5011-G1a	B0817H4J9S	275.22	25
SXM-5012-G1a	B0817JTWXN	275.22	50
SXM-5013-G1a	B0817J2HLB	275.22	35
SXM-5482-G1	B08DHKCTDR	1111.99	50
SXM-7492-G1	B07Y27NL64	213.39	47
SXM-7494-G1	B07Y26FR33	294.79	88
SXM-7500-G1	B07Y282FGH	213.39	75
SXM-7502-G1	B07Y278V4Y	294.79	65
SXM-7504-G1	B07Y2774P1	345.59	19
SXM-4658 4659-G1	B093BSH9W9	1900.99	0
SXM-4990-G1	B0837PLPK3	499.99	0
SXM-4991-G1	B0837PJWTX	713.99	0
SXM-5248-G1	B081GVXDSH	333.99	0
SXM-5249-G1	B081GW4W7C	379.99	0
SXM-5250-G1	B081GVYYG6	451.89	0
SXM-5251-G1	B081GVBZXB	499.99	0
SXM-5252-G1	B081GW8MQ9	351.99	0
SXM-5295-G1	B0817R23HK	729.99	0
SXM-5482-G2	B08DHLBW9P	729.99	0
