sku	asin	price	quantity	Business Price	Quantity Price Type	Quantity Lower Bound 1	Quantity Price 1	Quantity Lower Bound 2	Quantity Price 2	Quantity Lower Bound 3	Quantity Price 3	Quantity Lower Bound 4	Quantity Price 4	Quantity Lower Bound 5	Quantity Price 5	Progressive Price Type	Progressive Lower Bound 1	Progressive Price 1	Progressive Lower Bound 2	Progressive Price 2	Progressive Lower Bound 3	Progressive Price 3	Minimum order quantity	Sell remainder
KSXM-901182-0329	B08XBRSXSW	116.99	64																					
SXM-901182-0120-G1z	B0817Z72CD	29.99	1																					
SXM-901182-0121-G1z	B0817NS1YR	17.99	24																					
SXM-901182-0292-G1z	B0817P4L79	31.99	30																					
SXM-901182-0293-G1z	B0817ZCY7G	17.99	1																					
SXM-901182-0304-G1q	B08HZ2BM8D	35.99	30																					
SXM-901182-0308-G1q	B08HYZV1M9	49.99	35																					
SXM-901182-0309-G1q	B08HYYVT63	55.99	30																					
SXM-901182-0312-G1q	B08HYZJRDZ	62.99	35																					
SXM-901182-0313-G1q	B08HYZ5FCY	75.99	20																					
SXM-901182-0321-G1m	B084FHGLZ3	45.99	30																					
SXM-901182-0322-G1m	B084FHTWSL	75.99	30																					
SXM-901182-0323-G1m	B084FHWJX4	45.99	30																					
SXM-901182-0324-G1m	B084FHWNRT	75.99	29																					
SXM-901182-0330-G1t	B07Y27NL64	16.99	50																					
SXM-901182-0330-G1v	B08MHV5W87	16.99	43																					
SXM-901182-0330-G1z	B08MJ1WMCF	16.99	44																					
SXM-901182-0331-G1t	B07Y282FGH	16.99	50																					
SXM-901182-0331-G1v	B08MJMM6TB	16.99	16																					
SXM-901182-0331-G1z	B08MJMBJTQ	16.99	41																					
SXM-901182-0332-G1t	B07Y26FR33	24.99	50																					
SXM-901182-0332-G1v	B07ZZ6XY2C	24.99	47																					
SXM-901182-0332-G1z	B08MJ94V3K	24.99	49																					
SXM-901182-0334-G1t	B07Y278V4Y	24.99	50																					
SXM-901182-0334-G1v	B08MHZ3F8Q	24.99	38																					
SXM-901182-0334-G1z	B08MJJSVS5	24.99	43																					
SXM-901182-0335-G1t	B07Y267QNZ	30.99	50																					
SXM-901182-0335-G1v	B08MJTQ5XF	30.99	50																					
SXM-901182-0335-G1z	B08MJGF8LJ	30.99	49																					
SXM-901182-0336-G1t	B07Y2774P1	30.99	50																					
SXM-901182-0336-G1v	B08MJF9VZN	30.99	39																					
SXM-901182-0336-G1z	B08MJTJ1WJ	30.99	44																					
SXM-901182-0337-G1t	B07Y27D5RY	38.99	50																					
SXM-901182-0337-G1v	B08MJKGG6X	38.99	50																					
SXM-901182-0337-G1z	B08MJQ9QW9	38.99	50																					
SXM-901182-0339-G2	B08QHTFR65	45.99	27																					
SXM-901182-0339-G4	B08QHTC9CP	86.99	27																					
SXM-901182-0340-G1q	B08HZ1PJJL	45.99	30																					
SXM-901182-0367-G1	B08KXQBDQV	20.59	1																					
SXM-901182-0375-G1d	B08FC8NZMR	18.99	10																					
SXM-901182-0376-G1c	B08FC8B1T9	29.99	13																					
SXM-901182-0385-G1	B08BP1DL3P	143.99	29																					
SXM-901182-0499-G1	B0819WLQ17	18.99	50																					
SXM-901182-0499-G1a	B0819WJVFW	19.99	50																					false
SXM-901182-0501-G1	B0819TNM9T	28.99	50																					
SXM-901182-0501-G1a	B0819WS5QJ	29.99	50																					
SXM-901182-0503-G1	B0819X6JHX	33.99	50																					
SXM-901182-0503-G1a	B0819W6L7L	34.99	50																					
SXM-901182-0505-G1	B0819XB164	49.99	50																					
SXM-901182-0505-G1a	B0819XFGR3	50.99	50																					
SXM-901182-0507-G1	B0819X8PMB	18.99	50																					
SXM-901182-0507-G1a	B0819Y6HKB	19.99	50																					
SXM-901182-0509-G1	B0819WFTDD	28.99	50																					
SXM-901182-0509-G1a	B0819WKTKH	29.99	50																					
SXM-901182-0511-G1	B0819WY9PH	33.99	50																					
SXM-901182-0511-G1a	B0819KK1S7	34.99	50																					
SXM-901182-0513-G1	B0819WTQWC	49.99	50																					
SXM-901182-0513-G1a	B0819XNC73	50.99	50																					
SXM-5629-G1a	B092ZRR3XD	36.99	0																					
SXM-901182-0120e	B08595LF7M	30.99	0																					
SXM-901182-0121e	B08591Q545	19.99	0																					
SXM-901182-0210-G1	B097K5YSCX	19.99	0																					
SXM-901182-0211-G1	B097K4J2B9	21.99	0																					
SXM-901182-0212-G1	B097K52LKB	23.99	0																					
SXM-901182-0213-G1	B097K5JBZ6	25.99	0																					
SXM-901182-0214-G1	B097K5NB8D	27.99	0																					
SXM-901182-0215-G1	B097K4CWYS	29.99	0																					
SXM-901182-0216-G1	B097K5SG21	32.99	0																					
SXM-901182-0217-G1	B097K5BFFD	35.99	0																					
SXM-901182-0218-G1	B097K53YRV	24.99	0																					
SXM-901182-0219-G1	B097K55CSM	26.99	0																					
SXM-901182-0220-G1	B097K686WX	29.99	0																					
SXM-901182-0221-G1	B097K4RZ61	32.99	0																					
SXM-901182-0222-G1	B097K5HS6Z	35.99	0																					
SXM-901182-0223-G1	B097K4XV44	38.99	0																					
SXM-901182-0224-G1	B097K5T7NP	39.99	0																					
SXM-901182-0225-G1	B097K4F3W5	41.99	0																					
SXM-901182-0291-G1z	B0817ZVJVB	17.99	0																					
SXM-901182-0291e	B0859DLSJV	19.99	0																					
SXM-901182-0292e	B08596NS43	30.99	0																					
SXM-901182-0293e	B0859197PC	19.99	0																					
SXM-901182-0294-G1z	B0817P78MS	31.99	0																					
SXM-901182-0294e	B0859CD42L	30.99	0																					
SXM-901182-0304-G1	B08HZ2BM8D	30.99	0																					
SXM-901182-0304-G1y	B082126HLW	29.99	0																					
SXM-901182-0305-G1	B08HZ1FHF6	30.99	0																					
SXM-901182-0305-G1y	B08213VRQQ	31.99	0																					
